K	&	Aleatoria	&	Pert aleatoria	&	Cent aleatoria	&	Particionada	&	Weka
2	&	559.6037032402162	&	555.6380529986008	&	417.3507418192482	&	555.6380529986008&
3	&	726.4665900312299	&	799.9119132319902	&	732.8291491783816	&	759.2235111793876&
4	&	1011.9005753691947	&	975.9922202748456	&	1047.5332342209203	&	730.488036479614&
5	&	982.687461211843	&	1220.2895091215487	&	917.7001765620654	&	911.4739502408544&

K	&	Aleatoria	&	Pert aleatoria	&	Cent aleatoria	&	Particionada&
2	&	4.529183211667019	&	4.529183211667019	&	4.529183211667019	&	4.529183211667019&
3	&	5.638525438260762	&	6.932201145446312	&	6.659938599517794	&	5.638525438260762&
4	&	7.151053600032363	&	4.167734285538465	&	4.148012724940617	&	4.167734285538465&
5	&	4.710954218064687	&	7.377716407383424	&	4.240619708461601	&	4.898035859902588&
