% Instancias clasificadas con el algoritmo K-means
% Parámetros de la llamada: /home/david/git/MineriaDeDatos2/P6/datos/datos_programa/food.csv -k 3 -i particionada -c 0.2 -d C 


Energy,Protein,Fat,Calcium,Iron,clase


340.0,20.0,28.0,9.0,2.6,3
245.0,21.0,17.0,9.0,2.7,2
420.0,15.0,39.0,7.0,2.0,3
375.0,19.0,32.0,9.0,2.6,3
180.0,22.0,10.0,17.0,3.7,2
115.0,20.0,3.0,8.0,1.4,2
170.0,25.0,7.0,12.0,1.5,2
160.0,26.0,5.0,14.0,5.9,2
265.0,20.0,20.0,9.0,2.6,3
300.0,18.0,25.0,9.0,2.3,3
340.0,20.0,28.0,9.0,2.5,3
340.0,19.0,29.0,9.0,2.5,3
355.0,19.0,30.0,9.0,2.4,3
205.0,18.0,14.0,7.0,2.5,2
185.0,23.0,9.0,9.0,2.7,2
135.0,22.0,4.0,25.0,0.6,2
70.0,11.0,1.0,82.0,6.0,1
45.0,7.0,1.0,74.0,5.4,1
90.0,14.0,2.0,38.0,0.8,2
135.0,16.0,5.0,15.0,0.5,2
200.0,19.0,13.0,5.0,1.0,2
155.0,16.0,9.0,157.0,1.8,1
195.0,16.0,11.0,14.0,1.3,2
120.0,17.0,5.0,159.0,0.7,1
180.0,22.0,9.0,367.0,2.5,1
170.0,25.0,7.0,7.0,1.2,2
110.0,23.0,1.0,98.0,2.6,1
